name,link,year,month
Detenuti presenti - aggiornamento al 31 marzo 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST423473,2023,3
Detenuti presenti - aggiornamento al 30 aprile 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST426348,2023,4
Detenuti presenti - aggiornamento al 31 maggio 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST431144,2023,5
Detenuti presenti - aggiornamento al 30 giugno 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST436103,2023,6
Detenuti presenti - aggiornamento al 31 luglio 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST439077,2023,7
Detenuti presenti - aggiornamento al 31 agosto 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST442882,2023,8
Detenuti presenti - aggiornamento al 30 settembre 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST446494,2023,9
Detenuti presenti - aggiornamento al 31 ottobre 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST447997,2023,10
Detenuti presenti - aggiornamento al 30 novembre 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST454080,2023,11
Detenuti presenti - aggiornamento al 31 dicembre 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST449575,2023,12
