,Region,Capacity,Present,Date
234,SICILIA,6.497,6.469,2018-12-31
235,TOSCANA,3.146,3.406,2018-12-31
236,TRENTINO ALTO ADIGE,506,400,2018-12-31
237,UMBRIA,1.334,1.431,2018-12-31
238,VALLE D'AOSTA,181,221,2018-12-31
239,VENETO,1.922,2.435,2018-12-31
240,ABRUZZO,1.627,1.949,2019-01-31
241,BASILICATA,413,520,2019-01-31
242,CALABRIA,2.734,2.902,2019-01-31
243,CAMPANIA,6.134,7.787,2019-01-31
244,EMILIA ROMAGNA,2.805,3.569,2019-01-31
245,FRIULI VENEZIA GIULIA,480,651,2019-01-31
246,LAZIO,5.258,6.580,2019-01-31
247,LIGURIA,1.128,1.474,2019-01-31
248,LOMBARDIA,6.226,8.540,2019-01-31
249,MARCHE,897,940,2019-01-31
250,MOLISE,270,377,2019-01-31
251,PIEMONTE,3.976,4.491,2019-01-31
252,PUGLIA,2.319,3.718,2019-01-31
253,SARDEGNA,2.706,2.150,2019-01-31
254,SICILIA,6.493,6.553,2019-01-31
255,TOSCANA,3.146,3.392,2019-01-31
256,TRENTINO ALTO ADIGE,506,386,2019-01-31
257,UMBRIA,1.329,1.440,2019-01-31
258,VALLE D'AOSTA,181,227,2019-01-31
259,VENETO,1.922,2.479,2019-01-31
260,ABRUZZO,1.627,1.979,2019-02-28
261,BASILICATA,413,495,2019-02-28
262,CALABRIA,2.734,2.931,2019-02-28
263,CAMPANIA,6.138,7.795,2019-02-28
264,EMILIA ROMAGNA,2.805,3.621,2019-02-28
265,FRIULI VENEZIA GIULIA,480,666,2019-02-28
266,LAZIO,5.258,6.583,2019-02-28
267,LIGURIA,1.128,1.487,2019-02-28
268,LOMBARDIA,6.198,8.605,2019-02-28
269,MARCHE,897,936,2019-02-28
270,MOLISE,270,380,2019-02-28
271,PIEMONTE,3.976,4.513,2019-02-28
272,PUGLIA,2.319,3.736,2019-02-28
273,SARDEGNA,2.706,2.145,2019-02-28
274,SICILIA,6.493,6.508,2019-02-28
275,TOSCANA,3.146,3.428,2019-02-28
276,TRENTINO ALTO ADIGE,506,379,2019-02-28
277,UMBRIA,1.329,1.430,2019-02-28
278,VALLE D'AOSTA,181,234,2019-02-28
279,VENETO,1.918,2.497,2019-02-28
280,ABRUZZO,1.627,2.018,2019-03-31
281,BASILICATA,413,449,2019-03-31
282,CALABRIA,2.734,2.882,2019-03-31
283,CAMPANIA,6.136,7.835,2019-03-31
284,EMILIA ROMAGNA,2.805,3.641,2019-03-31
285,FRIULI VENEZIA GIULIA,480,675,2019-03-31
286,LAZIO,5.258,6.562,2019-03-31
287,LIGURIA,1.124,1.527,2019-03-31
288,LOMBARDIA,6.197,8.635,2019-03-31
289,MARCHE,897,924,2019-03-31
290,MOLISE,270,407,2019-03-31
291,PIEMONTE,3.976,4.570,2019-03-31
292,PUGLIA,2.319,3.765,2019-03-31
293,SARDEGNA,2.706,2.151,2019-03-31
294,SICILIA,6.493,6.571,2019-03-31
295,TOSCANA,3.145,3.420,2019-03-31
296,TRENTINO ALTO ADIGE,506,403,2019-03-31
297,UMBRIA,1.329,1.434,2019-03-31
298,VALLE D'AOSTA,181,241,2019-03-31
299,VENETO,1.918,2.501,2019-03-31
300,ABRUZZO,1.645,2.035,2019-04-30
301,BASILICATA,413,434,2019-04-30
302,CALABRIA,2.734,2.922,2019-04-30
303,CAMPANIA,6.136,7.844,2019-04-30
304,EMILIA ROMAGNA,2.805,3.635,2019-04-30
305,FRIULI VENEZIA GIULIA,480,641,2019-04-30
306,LAZIO,5.252,6.528,2019-04-30
307,LIGURIA,1.125,1.527,2019-04-30
308,LOMBARDIA,6.199,8.610,2019-04-30
309,MARCHE,897,879,2019-04-30
310,MOLISE,270,419,2019-04-30
311,PIEMONTE,3.976,4.584,2019-04-30
312,PUGLIA,2.319,3.723,2019-04-30
313,SARDEGNA,2.706,2.148,2019-04-30
314,SICILIA,6.480,6.509,2019-04-30
315,TOSCANA,3.145,3.456,2019-04-30
316,TRENTINO ALTO ADIGE,506,403,2019-04-30
317,UMBRIA,1.324,1.411,2019-04-30
318,VALLE D'AOSTA,181,233,2019-04-30
319,VENETO,1.918,2.498,2019-04-30
320,ABRUZZO,1.645,2.000,2019-05-31
321,BASILICATA,413,464,2019-05-31
322,CALABRIA,2.734,2.913,2019-05-31
323,CAMPANIA,6.131,7.841,2019-05-31
324,EMILIA ROMAGNA,2.795,3.631,2019-05-31
325,FRIULI VENEZIA GIULIA,480,653,2019-05-31
326,LAZIO,5.254,6.520,2019-05-31
327,LIGURIA,1.131,1.509,2019-05-31
328,LOMBARDIA,6.199,8.610,2019-05-31
329,MARCHE,897,890,2019-05-31
330,MOLISE,270,414,2019-05-31
331,PIEMONTE,3.972,4.592,2019-05-31
332,PUGLIA,2.319,3.743,2019-05-31
333,SARDEGNA,2.706,2.190,2019-05-31
334,SICILIA,6.484,6.480,2019-05-31
335,TOSCANA,3.145,3.523,2019-05-31
336,TRENTINO ALTO ADIGE,506,414,2019-05-31
337,UMBRIA,1.324,1.407,2019-05-31
338,VALLE D'AOSTA,181,224,2019-05-31
339,VENETO,1.942,2.458,2019-05-31
340,ABRUZZO,1.645,2.027,2019-06-30
341,BASILICATA,413,469,2019-06-30
342,CALABRIA,2.734,2.869,2019-06-30
343,CAMPANIA,6.133,7.849,2019-06-30
344,EMILIA ROMAGNA,2.795,3.695,2019-06-30
345,FRIULI VENEZIA GIULIA,477,652,2019-06-30
346,LAZIO,5.254,6.484,2019-06-30
347,LIGURIA,1.104,1.504,2019-06-30
348,LOMBARDIA,6.199,8.574,2019-06-30
349,MARCHE,897,886,2019-06-30
350,MOLISE,270,414,2019-06-30
351,PIEMONTE,3.972,4.636,2019-06-30
352,PUGLIA,2.319,3.812,2019-06-30
353,SARDEGNA,2.706,2.189,2019-06-30
354,SICILIA,6.484,6.452,2019-06-30
355,TOSCANA,3.141,3.550,2019-06-30
356,TRENTINO ALTO ADIGE,506,417,2019-06-30
357,UMBRIA,1.324,1.407,2019-06-30
358,VALLE D'AOSTA,181,204,2019-06-30
359,VENETO,1.942,2.432,2019-06-30
360,ABRUZZO,1.645,2.077,2019-07-31
361,BASILICATA,413,471,2019-07-31
362,CALABRIA,2.733,2.865,2019-07-31
363,CAMPANIA,6.157,7.606,2019-07-31
364,EMILIA ROMAGNA,2.795,3.707,2019-07-31
365,FRIULI VENEZIA GIULIA,479,674,2019-07-31
366,LAZIO,5.254,6.483,2019-07-31
367,LIGURIA,1.104,1.540,2019-07-31
368,LOMBARDIA,6.199,8.472,2019-07-31
369,MARCHE,856,893,2019-07-31
370,MOLISE,270,408,2019-07-31
371,PIEMONTE,3.972,4.665,2019-07-31
372,PUGLIA,2.319,3.745,2019-07-31
373,SARDEGNA,2.706,2.235,2019-07-31
374,SICILIA,6.484,6.396,2019-07-31
375,TOSCANA,3.141,3.598,2019-07-31
376,TRENTINO ALTO ADIGE,506,408,2019-07-31
377,UMBRIA,1.324,1.427,2019-07-31
378,VALLE D'AOSTA,181,183,2019-07-31
379,VENETO,1.942,2.401,2019-07-31
380,ABRUZZO,1.645,2.049,2019-08-31
381,BASILICATA,413,475,2019-08-31
382,CALABRIA,2.734,2.835,2019-08-31
383,CAMPANIA,6.157,7.577,2019-08-31
384,EMILIA ROMAGNA,2.792,3.766,2019-08-31
385,FRIULI VENEZIA GIULIA,479,695,2019-08-31
386,LAZIO,5.254,6.574,2019-08-31
387,LIGURIA,1.104,1.568,2019-08-31
388,LOMBARDIA,6.199,8.618,2019-08-31
389,MARCHE,856,881,2019-08-31
390,MOLISE,270,409,2019-08-31
391,PIEMONTE,3.971,4.698,2019-08-31
392,PUGLIA,2.319,3.784,2019-08-31
393,SARDEGNA,2.706,2.281,2019-08-31
394,SICILIA,6.476,6.367,2019-08-31
395,TOSCANA,3.141,3.652,2019-08-31
396,TRENTINO ALTO ADIGE,506,438,2019-08-31
397,UMBRIA,1.324,1.461,2019-08-31
398,VALLE D'AOSTA,181,178,2019-08-31
399,VENETO,1.942,2.435,2019-08-31
400,ABRUZZO,1.646,2.056,2019-09-30
401,BASILICATA,413,509,2019-09-30
402,CALABRIA,2.734,2.819,2019-09-30
403,CAMPANIA,6.157,7.560,2019-09-30
404,EMILIA ROMAGNA,2.793,3.760,2019-09-30
405,FRIULI VENEZIA GIULIA,479,666,2019-09-30
406,LAZIO,5.247,6.585,2019-09-30
407,LIGURIA,1.104,1.523,2019-09-30
408,LOMBARDIA,6.199,8.645,2019-09-30
409,MARCHE,856,891,2019-09-30
410,MOLISE,270,400,2019-09-30
411,PIEMONTE,3.971,4.686,2019-09-30
412,PUGLIA,2.319,3.815,2019-09-30
413,SARDEGNA,2.714,2.295,2019-09-30
414,SICILIA,6.476,6.496,2019-09-30
415,TOSCANA,3.141,3.658,2019-09-30
416,TRENTINO ALTO ADIGE,506,444,2019-09-30
417,UMBRIA,1.324,1.443,2019-09-30
418,VALLE D'AOSTA,181,200,2019-09-30
419,VENETO,1.942,2.430,2019-09-30
420,ABRUZZO,1.646,2.026,2019-10-31
421,BASILICATA,413,502,2019-10-31
422,CALABRIA,2.734,2.784,2019-10-31
423,CAMPANIA,6.158,7.482,2019-10-31
424,EMILIA ROMAGNA,2.793,3.846,2019-10-31
425,FRIULI VENEZIA GIULIA,479,671,2019-10-31
426,LAZIO,5.247,6.584,2019-10-31
427,LIGURIA,1.104,1.537,2019-10-31
428,LOMBARDIA,6.199,8.618,2019-10-31
429,MARCHE,856,896,2019-10-31
430,MOLISE,270,415,2019-10-31
431,PIEMONTE,3.971,4.645,2019-10-31
432,PUGLIA,2.319,3.857,2019-10-31
433,SARDEGNA,2.714,2.321,2019-10-31
434,SICILIA,6.478,6.526,2019-10-31
435,TOSCANA,3.140,3.603,2019-10-31
436,TRENTINO ALTO ADIGE,506,449,2019-10-31
437,UMBRIA,1.324,1.455,2019-10-31
438,VALLE D'AOSTA,181,243,2019-10-31
439,VENETO,1.942,2.525,2019-10-31
440,ABRUZZO,1.646,2.062,2019-11-30
441,BASILICATA,411,478,2019-11-30
442,CALABRIA,2.734,2.771,2019-11-30
443,CAMPANIA,6.157,7.459,2019-11-30
444,EMILIA ROMAGNA,2.793,3.856,2019-11-30
445,FRIULI VENEZIA GIULIA,479,664,2019-11-30
446,LAZIO,5.247,6.652,2019-11-30
447,LIGURIA,1.104,1.551,2019-11-30
448,LOMBARDIA,6.199,8.659,2019-11-30
449,MARCHE,856,919,2019-11-30
450,MOLISE,270,420,2019-11-30
451,PIEMONTE,3.971,4.588,2019-11-30
452,PUGLIA,2.319,3.912,2019-11-30
453,SARDEGNA,2.714,2.327,2019-11-30
454,SICILIA,6.489,6.445,2019-11-30
455,TOSCANA,3.134,3.580,2019-11-30
456,TRENTINO ALTO ADIGE,506,442,2019-11-30
457,UMBRIA,1.324,1.485,2019-11-30
458,VALLE D'AOSTA,181,232,2019-11-30
459,VENETO,1.942,2.672,2019-11-30
460,ABRUZZO,1.646,2.064,2019-12-31
461,BASILICATA,411,471,2019-12-31
462,CALABRIA,2.734,2.898,2019-12-31
463,CAMPANIA,6.164,7.412,2019-12-31
464,EMILIA ROMAGNA,2.793,3.834,2019-12-31
465,FRIULI VENEZIA GIULIA,479,656,2019-12-31
466,LAZIO,5.247,6.566,2019-12-31
467,LIGURIA,1.104,1.511,2019-12-31
468,LOMBARDIA,6.199,8.547,2019-12-31
469,MARCHE,857,898,2019-12-31
470,MOLISE,270,462,2019-12-31
471,PIEMONTE,3.971,4.531,2019-12-31
472,PUGLIA,2.517,3.814,2019-12-31
473,SARDEGNA,2.710,2.288,2019-12-31
474,SICILIA,6.497,6.445,2019-12-31
475,TOSCANA,3.136,3.556,2019-12-31
476,TRENTINO ALTO ADIGE,506,445,2019-12-31
477,UMBRIA,1.324,1.471,2019-12-31
478,VALLE D'AOSTA,181,228,2019-12-31
479,VENETO,1.942,2.672,2019-12-31
480,ABRUZZO,1.650,2.091,2020-01-31
481,BASILICATA,411,459,2020-01-31
482,CALABRIA,2.735,2.794,2020-01-31
483,CAMPANIA,6.164,7.468,2020-01-31
484,EMILIA ROMAGNA,2.793,3.862,2020-01-31
485,FRIULI VENEZIA GIULIA,479,659,2020-01-31
486,LAZIO,5.246,6.613,2020-01-31
487,LIGURIA,1.104,1.522,2020-01-31
488,LOMBARDIA,6.199,8.583,2020-01-31
489,MARCHE,857,907,2020-01-31
490,MOLISE,270,452,2020-01-31
491,PIEMONTE,3.971,4.517,2020-01-31
492,PUGLIA,2.517,3.869,2020-01-31
493,SARDEGNA,2.710,2.319,2020-01-31
494,SICILIA,6.497,6.547,2020-01-31
495,TOSCANA,3.136,3.572,2020-01-31
496,TRENTINO ALTO ADIGE,506,433,2020-01-31
497,UMBRIA,1.324,1.450,2020-01-31
498,VALLE D'AOSTA,181,245,2020-01-31
499,VENETO,1.942,2.609,2020-01-31
500,ABRUZZO,1.650,2.014,2020-02-29
501,BASILICATA,411,461,2020-02-29
502,CALABRIA,2.735,2.779,2020-02-29
503,CAMPANIA,6.211,7.419,2020-02-29
504,EMILIA ROMAGNA,2.989,3.895,2020-02-29
505,FRIULI VENEZIA GIULIA,479,663,2020-02-29
506,LAZIO,5.244,6.667,2020-02-29
507,LIGURIA,1.104,1.519,2020-02-29
508,LOMBARDIA,6.199,8.720,2020-02-29
509,MARCHE,857,926,2020-02-29
510,MOLISE,270,475,2020-02-29
511,PIEMONTE,3.971,4.553,2020-02-29
512,PUGLIA,2.517,3.863,2020-02-29
513,SARDEGNA,2.710,2.310,2020-02-29
514,SICILIA,6.495,6.590,2020-02-29
515,TOSCANA,3.136,3.590,2020-02-29
516,TRENTINO ALTO ADIGE,506,424,2020-02-29
517,UMBRIA,1.324,1.485,2020-02-29
518,VALLE D'AOSTA,181,239,2020-02-29
519,VENETO,1.942,2.638,2020-02-29
520,ABRUZZO,1.655,1.953,2020-03-31
521,BASILICATA,409,374,2020-03-31
522,CALABRIA,2.731,2.846,2020-03-31
523,CAMPANIA,6.158,6.972,2020-03-31
524,EMILIA ROMAGNA,3.002,3.261,2020-03-31
525,FRIULI VENEZIA GIULIA,479,631,2020-03-31
526,LAZIO,5.209,6.204,2020-03-31
527,LIGURIA,1.117,1.495,2020-03-31
528,LOMBARDIA,6.203,8.095,2020-03-31
529,MARCHE,856,969,2020-03-31
530,MOLISE,266,439,2020-03-31
531,PIEMONTE,3.947,4.507,2020-03-31
532,PUGLIA,2.478,3.574,2020-03-31
533,SARDEGNA,2.710,2.202,2020-03-31
534,SICILIA,6.466,6.218,2020-03-31
535,TOSCANA,3.120,3.471,2020-03-31
536,TRENTINO ALTO ADIGE,497,410,2020-03-31
537,UMBRIA,1.324,1.460,2020-03-31
538,VALLE D'AOSTA,181,227,2020-03-31
539,VENETO,1.946,2.538,2020-03-31
540,ABRUZZO,1.655,1.850,2020-04-30
541,BASILICATA,402,348,2020-04-30
542,CALABRIA,2.706,2.667,2020-04-30
543,CAMPANIA,6.087,6.451,2020-04-30
544,EMILIA ROMAGNA,2.995,3.076,2020-04-30
545,FRIULI VENEZIA GIULIA,473,589,2020-04-30
546,LAZIO,5.192,5.738,2020-04-30
547,LIGURIA,1.111,1.398,2020-04-30
548,LOMBARDIA,6.140,7.333,2020-04-30
549,MARCHE,851,899,2020-04-30
550,MOLISE,268,410,2020-04-30
551,PIEMONTE,3.938,4.190,2020-04-30
552,PUGLIA,2.469,3.406,2020-04-30
553,SARDEGNA,2.679,2.125,2020-04-30
554,SICILIA,6.443,5.833,2020-04-30
555,TOSCANA,3.116,3.256,2020-04-30
556,TRENTINO ALTO ADIGE,497,371,2020-04-30
557,UMBRIA,1.322,1.398,2020-04-30
558,VALLE D'AOSTA,177,211,2020-04-30
559,VENETO,1.917,2.355,2020-04-30
560,ABRUZZO,1.655,1.796,2020-05-31
561,BASILICATA,402,360,2020-05-31
562,CALABRIA,2.706,2.628,2020-05-31
563,CAMPANIA,6.043,6.404,2020-05-31
564,EMILIA ROMAGNA,2.995,3.001,2020-05-31
565,FRIULI VENEZIA GIULIA,464,593,2020-05-31
566,LAZIO,5.178,5.689,2020-05-31
567,LIGURIA,1.111,1.385,2020-05-31
568,LOMBARDIA,6.137,7.283,2020-05-31
569,MARCHE,846,863,2020-05-31
570,MOLISE,268,404,2020-05-31
571,PIEMONTE,3.938,4.165,2020-05-31
572,PUGLIA,2.665,3.418,2020-05-31
573,SARDEGNA,2.615,2.087,2020-05-31
