,Region,Capacity,Present,Date
1143,CAMPANIA,6.220,6.705,2022-10-31
1144,EMILIA ROMAGNA,3.013,3.365,2022-10-31
1145,FRIULI VENEZIA GIULIA,463,611,2022-10-31
1146,LAZIO,5.242,5.938,2022-10-31
1147,LIGURIA,1.131,1.372,2022-10-31
1148,LOMBARDIA,6.161,8.150,2022-10-31
1149,MARCHE,828,838,2022-10-31
1150,MOLISE,271,350,2022-10-31
1151,PIEMONTE,3.965,4.147,2022-10-31
1152,PUGLIA,2.895,3.974,2022-10-31
1153,SARDEGNA,2.614,2.081,2022-10-31
1154,SICILIA,6.500,6.072,2022-10-31
1155,TOSCANA,3.122,3.054,2022-10-31
1156,TRENTINO ALTO ADIGE,498,444,2022-10-31
1157,UMBRIA,1.340,1.387,2022-10-31
1158,VALLE D'AOSTA,177,109,2022-10-31
1159,VENETO,1.922,2.487,2022-10-31
1160,ABRUZZO,1.659,1.879,2022-11-30
1161,BASILICATA,437,413,2022-11-30
1162,CALABRIA,2.726,2.868,2022-11-30
1163,CAMPANIA,6.215,6.783,2022-11-30
1164,EMILIA ROMAGNA,3.011,3.390,2022-11-30
1165,FRIULI VENEZIA GIULIA,471,598,2022-11-30
1166,LAZIO,5.242,5.986,2022-11-30
1167,LIGURIA,1.126,1.365,2022-11-30
1168,LOMBARDIA,6.174,8.247,2022-11-30
1169,MARCHE,828,864,2022-11-30
1170,MOLISE,271,339,2022-11-30
1171,PIEMONTE,3.998,4.125,2022-11-30
1172,PUGLIA,2.912,4.010,2022-11-30
1173,SARDEGNA,2.614,2.079,2022-11-30
1174,SICILIA,6.500,6.098,2022-11-30
1175,TOSCANA,3.169,3.007,2022-11-30
1176,TRENTINO ALTO ADIGE,507,465,2022-11-30
1177,UMBRIA,1.342,1.405,2022-11-30
1178,VALLE D'AOSTA,181,101,2022-11-30
1179,VENETO,1.950,2.502,2022-11-30
1180,ABRUZZO,1.666,1.875,2022-12-31
1181,BASILICATA,356,406,2022-12-31
1182,CALABRIA,2.726,2.928,2022-12-31
1183,CAMPANIA,6.218,6.756,2022-12-31
1184,EMILIA ROMAGNA,3.020,3.407,2022-12-31
1185,FRIULI VENEZIA GIULIA,471,572,2022-12-31
1186,LAZIO,5.290,5.933,2022-12-31
1187,LIGURIA,1.126,1.347,2022-12-31
1188,LOMBARDIA,6.173,8.147,2022-12-31
1189,MARCHE,838,855,2022-12-31
1190,MOLISE,273,328,2022-12-31
1191,PIEMONTE,4.000,4.060,2022-12-31
1192,PUGLIA,2.912,3.952,2022-12-31
1193,SARDEGNA,2.614,2.076,2022-12-31
1194,SICILIA,6.500,6.130,2022-12-31
1195,TOSCANA,3.169,2.963,2022-12-31
1196,TRENTINO ALTO ADIGE,507,449,2022-12-31
1197,UMBRIA,1.338,1.423,2022-12-31
1198,VALLE D'AOSTA,181,102,2022-12-31
1199,VENETO,1.950,2.487,2022-12-31
1200,ABRUZZO,1.666,1.870,2023-01-31
1201,BASILICATA,378,429,2023-01-31
1202,CALABRIA,2.726,2.965,2023-01-31
1203,CAMPANIA,6.229,6.704,2023-01-31
1204,EMILIA ROMAGNA,2.984,3.428,2023-01-31
1205,FRIULI VENEZIA GIULIA,477,561,2023-01-31
1206,LAZIO,5.290,5.971,2023-01-31
1207,LIGURIA,1.126,1.358,2023-01-31
1208,LOMBARDIA,6.161,8.109,2023-01-31
1209,MARCHE,838,860,2023-01-31
1210,MOLISE,273,317,2023-01-31
1211,PIEMONTE,4.000,4.026,2023-01-31
1212,PUGLIA,2.912,3.964,2023-01-31
1213,SARDEGNA,2.614,2.068,2023-01-31
1214,SICILIA,6.500,6.095,2023-01-31
1215,TOSCANA,3.169,2.949,2023-01-31
1216,TRENTINO ALTO ADIGE,507,445,2023-01-31
1217,UMBRIA,1.342,1.415,2023-01-31
1218,VALLE D'AOSTA,181,117,2023-01-31
1219,VENETO,2.030,2.476,2023-01-31
1220,ABRUZZO,1.653,1.898,2023-02-28
1221,BASILICATA,378,417,2023-02-28
1222,CALABRIA,2.726,3.012,2023-02-28
1223,CAMPANIA,6.203,6.768,2023-02-28
1224,EMILIA ROMAGNA,2.984,3.417,2023-02-28
1225,FRIULI VENEZIA GIULIA,476,579,2023-02-28
1226,LAZIO,5.295,5.965,2023-02-28
1227,LIGURIA,1.126,1.367,2023-02-28
1228,LOMBARDIA,6.161,8.100,2023-02-28
1229,MARCHE,835,851,2023-02-28
1230,MOLISE,275,319,2023-02-28
1231,PIEMONTE,4.000,4.027,2023-02-28
1232,PUGLIA,2.912,3.956,2023-02-28
1233,SARDEGNA,2.614,2.071,2023-02-28
1234,SICILIA,6.498,6.139,2023-02-28
1235,TOSCANA,3.169,2.976,2023-02-28
1236,TRENTINO ALTO ADIGE,507,444,2023-02-28
1237,UMBRIA,1.342,1.414,2023-02-28
1238,VALLE D'AOSTA,181,122,2023-02-28
1239,VENETO,1.950,2.477,2023-02-28
1240,ABRUZZO,1.654,1.885,2023-03-31
1241,BASILICATA,378,424,2023-03-31
1242,CALABRIA,2.726,3.014,2023-03-31
1243,CAMPANIA,6.196,6.810,2023-03-31
1244,EMILIA ROMAGNA,2.983,3.423,2023-03-31
1245,FRIULI VENEZIA GIULIA,476,584,2023-03-31
1246,LAZIO,5.295,6.025,2023-03-31
1247,LIGURIA,1.106,1.388,2023-03-31
1248,LOMBARDIA,6.161,8.122,2023-03-31
1249,MARCHE,838,863,2023-03-31
1250,MOLISE,275,330,2023-03-31
1251,PIEMONTE,4.003,4.012,2023-03-31
1252,PUGLIA,2.912,4.022,2023-03-31
1253,SARDEGNA,2.614,2.079,2023-03-31
1254,SICILIA,6.498,6.189,2023-03-31
1255,TOSCANA,3.169,2.999,2023-03-31
1256,TRENTINO ALTO ADIGE,507,457,2023-03-31
1257,UMBRIA,1.342,1.415,2023-03-31
1258,VALLE D'AOSTA,181,129,2023-03-31
1259,VENETO,1.947,2.435,2023-03-31
1260,ABRUZZO,1.654,1.876,2023-04-30
1261,BASILICATA,378,415,2023-04-30
1262,CALABRIA,2.726,3.015,2023-04-30
1263,CAMPANIA,6.196,6.790,2023-04-30
1264,EMILIA ROMAGNA,2.983,3.419,2023-04-30
1265,FRIULI VENEZIA GIULIA,476,590,2023-04-30
1266,LAZIO,5.295,6.079,2023-04-30
1267,LIGURIA,1.106,1.399,2023-04-30
1268,LOMBARDIA,6.157,8.207,2023-04-30
1269,MARCHE,838,861,2023-04-30
1270,MOLISE,275,321,2023-04-30
1271,PIEMONTE,4.001,3.958,2023-04-30
1272,PUGLIA,2.912,3.998,2023-04-30
1273,SARDEGNA,2.617,2.065,2023-04-30
1274,SICILIA,6.498,6.219,2023-04-30
1275,TOSCANA,3.160,2.999,2023-04-30
1276,TRENTINO ALTO ADIGE,507,477,2023-04-30
1277,UMBRIA,1.342,1.415,2023-04-30
1278,VALLE D'AOSTA,181,140,2023-04-30
1279,VENETO,1.947,2.431,2023-04-30
1280,ABRUZZO,1.654,1.870,2023-05-31
1281,BASILICATA,378,434,2023-05-31
1282,CALABRIA,2.726,3.060,2023-05-31
1283,CAMPANIA,6.196,6.893,2023-05-31
1284,EMILIA ROMAGNA,2.983,3.431,2023-05-31
1285,FRIULI VENEZIA GIULIA,476,618,2023-05-31
1286,LAZIO,5.295,6.086,2023-05-31
1287,LIGURIA,1.107,1.402,2023-05-31
1288,LOMBARDIA,6.157,8.277,2023-05-31
1289,MARCHE,838,865,2023-05-31
1290,MOLISE,275,324,2023-05-31
1291,PIEMONTE,3.913,3.981,2023-05-31
1292,PUGLIA,2.912,4.038,2023-05-31
1293,SARDEGNA,2.617,2.079,2023-05-31
1294,SICILIA,6.480,6.334,2023-05-31
1295,TOSCANA,3.168,3.024,2023-05-31
1296,TRENTINO ALTO ADIGE,508,472,2023-05-31
1297,UMBRIA,1.342,1.425,2023-05-31
1298,VALLE D'AOSTA,181,130,2023-05-31
1299,VENETO,1.947,2.487,2023-05-31
1300,ABRUZZO,1.652,1.840,2023-06-30
1301,BASILICATA,368,442,2023-06-30
1302,CALABRIA,2.726,3.038,2023-06-30
1303,CAMPANIA,6.196,6.994,2023-06-30
1304,EMILIA ROMAGNA,2.979,3.459,2023-06-30
1305,FRIULI VENEZIA GIULIA,476,605,2023-06-30
1306,LAZIO,5.295,6.180,2023-06-30
1307,LIGURIA,1.107,1.398,2023-06-30
1308,LOMBARDIA,6.157,8.320,2023-06-30
1309,MARCHE,835,877,2023-06-30
1310,MOLISE,275,315,2023-06-30
1311,PIEMONTE,3.999,4.066,2023-06-30
1312,PUGLIA,2.912,4.137,2023-06-30
1313,SARDEGNA,2.617,2.047,2023-06-30
1314,SICILIA,6.476,6.329,2023-06-30
1315,TOSCANA,3.139,2.990,2023-06-30
1316,TRENTINO ALTO ADIGE,508,472,2023-06-30
1317,UMBRIA,1.342,1.419,2023-06-30
1318,VALLE D'AOSTA,181,116,2023-06-30
1319,VENETO,1.947,2.481,2023-06-30
1320,ABRUZZO,1.652,1.906,2023-07-31
1321,BASILICATA,368,461,2023-07-31
1322,CALABRIA,2.754,3.003,2023-07-31
1323,CAMPANIA,6.189,6.998,2023-07-31
1324,EMILIA ROMAGNA,2.979,3.477,2023-07-31
1325,FRIULI VENEZIA GIULIA,476,598,2023-07-31
1326,LAZIO,5.287,6.209,2023-07-31
1327,LIGURIA,1.110,1.379,2023-07-31
1328,LOMBARDIA,6.157,8.370,2023-07-31
1329,MARCHE,838,874,2023-07-31
1330,MOLISE,275,308,2023-07-31
1331,PIEMONTE,3.999,4.036,2023-07-31
1332,PUGLIA,2.912,4.199,2023-07-31
1333,SARDEGNA,2.617,2.070,2023-07-31
1334,SICILIA,6.476,6.376,2023-07-31
1335,TOSCANA,3.218,2.989,2023-07-31
1336,TRENTINO ALTO ADIGE,508,446,2023-07-31
1337,UMBRIA,1.342,1.427,2023-07-31
1338,VALLE D'AOSTA,181,111,2023-07-31
1339,VENETO,1.947,2.512,2023-07-31
1340,ABRUZZO,1.653,1.928,2023-08-31
1341,BASILICATA,368,451,2023-08-31
1342,CALABRIA,2.725,3.023,2023-08-31
1343,CAMPANIA,6.189,7.094,2023-08-31
1344,EMILIA ROMAGNA,2.979,3.471,2023-08-31
1345,FRIULI VENEZIA GIULIA,476,609,2023-08-31
1346,LAZIO,5.287,6.304,2023-08-31
1347,LIGURIA,1.110,1.402,2023-08-31
1348,LOMBARDIA,6.153,8.543,2023-08-31
1349,MARCHE,835,881,2023-08-31
1350,MOLISE,275,307,2023-08-31
1351,PIEMONTE,3.999,4.060,2023-08-31
1352,PUGLIA,2.923,4.254,2023-08-31
1353,SARDEGNA,2.617,2.085,2023-08-31
1354,SICILIA,6.476,6.436,2023-08-31
1355,TOSCANA,3.163,3.046,2023-08-31
1356,TRENTINO ALTO ADIGE,508,464,2023-08-31
1357,UMBRIA,1.342,1.427,2023-08-31
1358,VALLE D'AOSTA,181,114,2023-08-31
1359,VENETO,1.947,2.529,2023-08-31
1360,ABRUZZO,1.714,1.930,2023-09-30
1361,BASILICATA,368,468,2023-09-30
1362,CALABRIA,2.725,3.046,2023-09-30
1363,CAMPANIA,6.165,7.199,2023-09-30
1364,EMILIA ROMAGNA,2.979,3.491,2023-09-30
1365,FRIULI VENEZIA GIULIA,476,587,2023-09-30
1366,LAZIO,5.337,6.381,2023-09-30
1367,LIGURIA,1.110,1.408,2023-09-30
1368,LOMBARDIA,6.153,8.597,2023-09-30
1369,MARCHE,837,901,2023-09-30
1370,MOLISE,275,312,2023-09-30
1371,PIEMONTE,3.999,4.139,2023-09-30
1372,PUGLIA,2.912,4.309,2023-09-30
1373,SARDEGNA,2.616,2.117,2023-09-30
1374,SICILIA,6.476,6.472,2023-09-30
1375,TOSCANA,3.163,3.062,2023-09-30
1376,TRENTINO ALTO ADIGE,508,463,2023-09-30
1377,UMBRIA,1.344,1.430,2023-09-30
1378,VALLE D'AOSTA,181,111,2023-09-30
1379,VENETO,1.947,2.564,2023-09-30
1380,ABRUZZO,1.714,1.958,2023-10-31
1381,BASILICATA,368,476,2023-10-31
1382,CALABRIA,2.719,3.080,2023-10-31
1383,CAMPANIA,6.165,7.279,2023-10-31
1384,EMILIA ROMAGNA,2.979,3.481,2023-10-31
1385,FRIULI VENEZIA GIULIA,475,626,2023-10-31
1386,LAZIO,5.334,6.453,2023-10-31
1387,LIGURIA,1.110,1.415,2023-10-31
1388,LOMBARDIA,6.153,8.691,2023-10-31
1389,MARCHE,837,914,2023-10-31
1390,MOLISE,275,297,2023-10-31
1391,PIEMONTE,3.999,4.215,2023-10-31
1392,PUGLIA,2.912,4.387,2023-10-31
1393,SARDEGNA,2.616,2.133,2023-10-31
1394,SICILIA,6.476,6.591,2023-10-31
1395,TOSCANA,3.163,3.092,2023-10-31
1396,TRENTINO ALTO ADIGE,508,466,2023-10-31
1397,UMBRIA,1.344,1.443,2023-10-31
1398,VALLE D'AOSTA,181,123,2023-10-31
1399,VENETO,1.947,2.595,2023-10-31
1400,ABRUZZO,1.714,1.947,2023-11-30
1401,BASILICATA,368,480,2023-11-30
1402,CALABRIA,2.711,3.101,2023-11-30
1403,CAMPANIA,6.171,7.303,2023-11-30
1404,EMILIA ROMAGNA,2.979,3.520,2023-11-30
1405,FRIULI VENEZIA GIULIA,475,632,2023-11-30
1406,LAZIO,5.334,6.465,2023-11-30
1407,LIGURIA,1.110,1.410,2023-11-30
1408,LOMBARDIA,6.152,8.733,2023-11-30
1409,MARCHE,837,907,2023-11-30
1410,MOLISE,275,309,2023-11-30
1411,PIEMONTE,3.999,4.229,2023-11-30
1412,PUGLIA,2.912,4.475,2023-11-30
1413,SARDEGNA,2.616,2.149,2023-11-30
1414,SICILIA,6.476,6.680,2023-11-30
1415,TOSCANA,3.163,3.094,2023-11-30
1416,TRENTINO ALTO ADIGE,508,476,2023-11-30
1417,UMBRIA,1.344,1.468,2023-11-30
1418,VALLE D'AOSTA,181,136,2023-11-30
1419,VENETO,1.947,2.602,2023-11-30
1420,ABRUZZO,1.689,1.958,2023-12-31
1421,BASILICATA,368,479,2023-12-31
1422,CALABRIA,2.711,3.038,2023-12-31
1423,CAMPANIA,6.171,7.330,2023-12-31
1424,EMILIA ROMAGNA,2.979,3.572,2023-12-31
1425,FRIULI VENEZIA GIULIA,475,639,2023-12-31
1426,LAZIO,5.284,6.537,2023-12-31
1427,LIGURIA,1.110,1.360,2023-12-31
1428,LOMBARDIA,6.149,8.722,2023-12-31
1429,MARCHE,837,919,2023-12-31
1430,MOLISE,275,317,2023-12-31
1431,PIEMONTE,3.982,4.231,2023-12-31
1432,PUGLIA,2.912,4.420,2023-12-31
1433,SARDEGNA,2.616,2.140,2023-12-31
1434,SICILIA,6.476,6.711,2023-12-31
1435,TOSCANA,3.163,3.094,2023-12-31
1436,TRENTINO ALTO ADIGE,510,483,2023-12-31
1437,UMBRIA,1.344,1.484,2023-12-31
1438,VALLE D'AOSTA,181,132,2023-12-31
1439,VENETO,1.947,2.600,2023-12-31
