Date,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO ALTO ADIGE,UMBRIA,VALLE D'AOSTA,VENETO
2019-02-28,0.21634910878918268,0.1985472154963681,0.07205559619604984,0.26995764092538277,0.2909090909090908,0.38749999999999996,0.2519969570178775,0.31826241134751787,0.38835108099386906,0.04347826086956519,0.40740740740740744,0.13506036217303818,0.6110392410521779,-0.20731707317073167,0.002310180194055045,0.08963763509218059,-0.2509881422924901,0.07599699021820916,0.2928176795580111,0.3018769551616267
2019-03-31,0.2403196066379838,0.0871670702179177,0.05413313825896138,0.27689048239895686,0.29803921568627434,0.40625,0.2480030429821225,0.3585409252669036,0.3934161691140874,0.030100334448160515,0.5074074074074073,0.1493963782696177,0.6235446313065978,-0.20509977827051007,0.012012937009086677,0.08744038155802869,-0.20355731225296447,0.07900677200902928,0.33149171270718236,0.3039624608967675
2019-04-30,0.237082066869301,0.05084745762711873,0.06876371616678867,0.2783572359843547,0.2959001782531192,0.3354166666666667,0.24295506473724293,0.3573333333333333,0.3889336989837069,-0.02006688963210701,0.5518518518518518,0.15291750503018098,0.6054333764553688,-0.2062084257206208,0.004475308641975317,0.09888712241653419,-0.20355731225296447,0.0657099697885195,0.28729281767955794,0.30239833159541196
2019-05-31,0.21580547112462,0.12348668280871666,0.06547183613752727,0.2789104550644266,0.2991055456171734,0.3604166666666666,0.24095926912828314,0.33421750663129957,0.3889336989837069,-0.0078037904124860225,0.5333333333333334,0.15609264853977844,0.6140577835273824,-0.19068736141906872,-0.0006169031462059937,0.12019077901430841,-0.18181818181818177,0.06268882175226587,0.2375690607734806,0.26570545829042236
2019-06-30,0.2322188449848026,0.13559322033898313,0.049378200438917386,0.27979781509864665,0.3220035778175312,0.36687631027253675,0.23410734678340317,0.36231884057971,0.38312631069527336,-0.012263099219620988,0.5333333333333334,0.16717019133937572,0.6438119879258302,-0.19105691056910568,-0.004935225169648394,0.13021330786373753,-0.1758893280632411,0.06268882175226587,0.1270718232044199,0.2523171987641606
2019-07-31,0.26261398176291784,0.1404358353510895,0.04829857299670692,0.2353418872827675,0.32629695885509835,0.40709812108559507,0.2339170156071564,0.39492753623188404,0.36667204387804486,0.04322429906542058,0.5111111111111111,0.17447129909365566,0.6149202242345839,-0.17405764966740578,-0.013571869216532972,0.14549506526583889,-0.19367588932806323,0.07779456193353473,0.011049723756906049,0.23635427394438713
2019-08-31,0.24559270516717313,0.15012106537530268,0.03694220921726399,0.23063180120188398,0.34885386819484254,0.45093945720250517,0.2512371526456034,0.42028985507246364,0.39022422971447024,0.029205607476635587,0.5148148148148148,0.18307731050113318,0.6317378180250108,-0.15705838876570577,-0.01683137739345275,0.16268704234320275,-0.13438735177865613,0.1034743202416919,-0.016574585635359074,0.25386199794026787
2019-09-30,0.24908869987849336,0.23244552058111378,0.03108997805413316,0.22787071625791766,0.34622269960615815,0.3903966597077244,0.2550028587764437,0.3795289855072461,0.3945797709307952,0.04088785046728982,0.4814814814814814,0.18005540166204992,0.6451056489866323,-0.15438467207074436,0.0030883261272391938,0.16459726201846547,-0.12252964426877466,0.08987915407854974,0.1049723756906078,0.25128733264675596
2019-10-31,0.23086269744835963,0.21549636803874095,0.018288222384784225,0.21500487171159466,0.37701396348012883,0.40083507306889343,0.2548122736801981,0.39221014492753614,0.39022422971447024,0.04672897196261672,0.537037037037037,0.16973054646184838,0.6632169038378612,-0.14480471628592473,0.007409694350108076,0.14745222929936297,-0.11264822134387353,0.0989425981873111,0.3425414364640884,0.30020597322348097
2019-11-30,0.2527339003645199,0.16301703163017023,0.013533284564740233,0.21146662335553024,0.380594343000358,0.3862212943632568,0.26777206022489053,0.40489130434782594,0.39683819970963063,0.07359813084112155,0.5555555555555556,0.15537647947620248,0.6869340232858991,-0.14259395725865887,-0.006780705809831922,0.1423101467772816,-0.12648221343873522,0.12160120845921463,0.28176795580110503,0.3759011328527293
