,Region,Capacity,Present,Date,Occupancy Rate,Region Group
258,VALLE D'AOSTA,181.0,227.0,2019-01-31,0.2541436464088398,centro
259,VENETO,1.922,2.479,2019-01-31,0.289802289281998,nord-est
260,ABRUZZO,1.627,1.979,2019-02-28,0.21634910878918268,sud
261,BASILICATA,413.0,495.0,2019-02-28,0.1985472154963681,sud
262,CALABRIA,2.734,2.931,2019-02-28,0.07205559619604984,sud
263,CAMPANIA,6.138,7.795,2019-02-28,0.26995764092538277,sud
264,EMILIA ROMAGNA,2.805,3.621,2019-02-28,0.2909090909090908,nord-est
265,FRIULI VENEZIA GIULIA,480.0,666.0,2019-02-28,0.38749999999999996,nord-est
266,LAZIO,5.258,6.583,2019-02-28,0.2519969570178775,centro
267,LIGURIA,1.128,1.487,2019-02-28,0.31826241134751787,centro
268,LOMBARDIA,6.198,8.605,2019-02-28,0.38835108099386906,centro
269,MARCHE,897.0,936.0,2019-02-28,0.04347826086956519,centro
270,MOLISE,270.0,380.0,2019-02-28,0.40740740740740744,sud
271,PIEMONTE,3.976,4.513,2019-02-28,0.13506036217303818,centro
272,PUGLIA,2.319,3.736,2019-02-28,0.6110392410521779,sud
273,SARDEGNA,2.706,2.145,2019-02-28,-0.20731707317073167,isole
274,SICILIA,6.493,6.508,2019-02-28,0.002310180194055045,isole
275,TOSCANA,3.146,3.428,2019-02-28,0.08963763509218059,centro
276,TRENTINO ALTO ADIGE,506.0,379.0,2019-02-28,-0.2509881422924901,nord-est
277,UMBRIA,1.329,1.43,2019-02-28,0.07599699021820916,centro
278,VALLE D'AOSTA,181.0,234.0,2019-02-28,0.2928176795580111,centro
279,VENETO,1.918,2.497,2019-02-28,0.3018769551616267,nord-est
280,ABRUZZO,1.627,2.018,2019-03-31,0.2403196066379838,sud
281,BASILICATA,413.0,449.0,2019-03-31,0.0871670702179177,sud
282,CALABRIA,2.734,2.882,2019-03-31,0.05413313825896138,sud
283,CAMPANIA,6.136,7.835,2019-03-31,0.27689048239895686,sud
284,EMILIA ROMAGNA,2.805,3.641,2019-03-31,0.29803921568627434,nord-est
285,FRIULI VENEZIA GIULIA,480.0,675.0,2019-03-31,0.40625,nord-est
286,LAZIO,5.258,6.562,2019-03-31,0.2480030429821225,centro
287,LIGURIA,1.124,1.527,2019-03-31,0.3585409252669036,centro
288,LOMBARDIA,6.197,8.635,2019-03-31,0.3934161691140874,centro
289,MARCHE,897.0,924.0,2019-03-31,0.030100334448160515,centro
290,MOLISE,270.0,407.0,2019-03-31,0.5074074074074073,sud
291,PIEMONTE,3.976,4.57,2019-03-31,0.1493963782696177,centro
292,PUGLIA,2.319,3.765,2019-03-31,0.6235446313065978,sud
293,SARDEGNA,2.706,2.151,2019-03-31,-0.20509977827051007,isole
294,SICILIA,6.493,6.571,2019-03-31,0.012012937009086677,isole
295,TOSCANA,3.145,3.42,2019-03-31,0.08744038155802869,centro
296,TRENTINO ALTO ADIGE,506.0,403.0,2019-03-31,-0.20355731225296447,nord-est
297,UMBRIA,1.329,1.434,2019-03-31,0.07900677200902928,centro
298,VALLE D'AOSTA,181.0,241.0,2019-03-31,0.33149171270718236,centro
299,VENETO,1.918,2.501,2019-03-31,0.3039624608967675,nord-est
300,ABRUZZO,1.645,2.035,2019-04-30,0.237082066869301,sud
301,BASILICATA,413.0,434.0,2019-04-30,0.05084745762711873,sud
302,CALABRIA,2.734,2.922,2019-04-30,0.06876371616678867,sud
303,CAMPANIA,6.136,7.844,2019-04-30,0.2783572359843547,sud
304,EMILIA ROMAGNA,2.805,3.635,2019-04-30,0.2959001782531192,nord-est
305,FRIULI VENEZIA GIULIA,480.0,641.0,2019-04-30,0.3354166666666667,nord-est
306,LAZIO,5.252,6.528,2019-04-30,0.24295506473724293,centro
307,LIGURIA,1.125,1.527,2019-04-30,0.3573333333333333,centro
308,LOMBARDIA,6.199,8.61,2019-04-30,0.3889336989837069,centro
309,MARCHE,897.0,879.0,2019-04-30,-0.02006688963210701,centro
310,MOLISE,270.0,419.0,2019-04-30,0.5518518518518518,sud
311,PIEMONTE,3.976,4.584,2019-04-30,0.15291750503018098,centro
312,PUGLIA,2.319,3.723,2019-04-30,0.6054333764553688,sud
313,SARDEGNA,2.706,2.148,2019-04-30,-0.2062084257206208,isole
314,SICILIA,6.48,6.509,2019-04-30,0.004475308641975317,isole
315,TOSCANA,3.145,3.456,2019-04-30,0.09888712241653419,centro
316,TRENTINO ALTO ADIGE,506.0,403.0,2019-04-30,-0.20355731225296447,nord-est
317,UMBRIA,1.324,1.411,2019-04-30,0.0657099697885195,centro
318,VALLE D'AOSTA,181.0,233.0,2019-04-30,0.28729281767955794,centro
319,VENETO,1.918,2.498,2019-04-30,0.30239833159541196,nord-est
320,ABRUZZO,1.645,2.0,2019-05-31,0.21580547112462,sud
321,BASILICATA,413.0,464.0,2019-05-31,0.12348668280871666,sud
322,CALABRIA,2.734,2.913,2019-05-31,0.06547183613752727,sud
323,CAMPANIA,6.131,7.841,2019-05-31,0.2789104550644266,sud
324,EMILIA ROMAGNA,2.795,3.631,2019-05-31,0.2991055456171734,nord-est
325,FRIULI VENEZIA GIULIA,480.0,653.0,2019-05-31,0.3604166666666666,nord-est
