Regione,Capienza regolamentare,Detenuti presenti (totale),Data
LAZIO,5.256,6.534,2018-12-31
LIGURIA,1.128,1.474,2018-12-31
LOMBARDIA,6.226,8.494,2018-12-31
MARCHE,897,929,2018-12-31
MOLISE,270,387,2018-12-31
PIEMONTE,3.976,4.478,2018-12-31
PUGLIA,2.322,3.646,2018-12-31
SARDEGNA,2.706,2.159,2018-12-31
SICILIA,6.497,6.469,2018-12-31
TOSCANA,3.146,3.406,2018-12-31
TRENTINO ALTO ADIGE,506,400,2018-12-31
UMBRIA,1.334,1.431,2018-12-31
VALLE D'AOSTA,181,221,2018-12-31
VENETO,1.922,2.435,2018-12-31
ABRUZZO,1.627,1.949,2019-01-31
BASILICATA,413,520,2019-01-31
CALABRIA,2.734,2.902,2019-01-31
CAMPANIA,6.134,7.787,2019-01-31
EMILIA ROMAGNA,2.805,3.569,2019-01-31
FRIULI VENEZIA GIULIA,480,651,2019-01-31
LAZIO,5.258,6.580,2019-01-31
LIGURIA,1.128,1.474,2019-01-31
LOMBARDIA,6.226,8.540,2019-01-31
MARCHE,897,940,2019-01-31
MOLISE,270,377,2019-01-31
PIEMONTE,3.976,4.491,2019-01-31
PUGLIA,2.319,3.718,2019-01-31
SARDEGNA,2.706,2.150,2019-01-31
SICILIA,6.493,6.553,2019-01-31
TOSCANA,3.146,3.392,2019-01-31
TRENTINO ALTO ADIGE,506,386,2019-01-31
UMBRIA,1.329,1.440,2019-01-31
VALLE D'AOSTA,181,227,2019-01-31
VENETO,1.922,2.479,2019-01-31
ABRUZZO,1.627,1.979,2019-02-28
BASILICATA,413,495,2019-02-28
CALABRIA,2.734,2.931,2019-02-28
CAMPANIA,6.138,7.795,2019-02-28
EMILIA ROMAGNA,2.805,3.621,2019-02-28
FRIULI VENEZIA GIULIA,480,666,2019-02-28
LAZIO,5.258,6.583,2019-02-28
LIGURIA,1.128,1.487,2019-02-28
LOMBARDIA,6.198,8.605,2019-02-28
MARCHE,897,936,2019-02-28
MOLISE,270,380,2019-02-28
PIEMONTE,3.976,4.513,2019-02-28
PUGLIA,2.319,3.736,2019-02-28
SARDEGNA,2.706,2.145,2019-02-28
SICILIA,6.493,6.508,2019-02-28
TOSCANA,3.146,3.428,2019-02-28
TRENTINO ALTO ADIGE,506,379,2019-02-28
UMBRIA,1.329,1.430,2019-02-28
VALLE D'AOSTA,181,234,2019-02-28
VENETO,1.918,2.497,2019-02-28
ABRUZZO,1.627,2.018,2019-03-31
BASILICATA,413,449,2019-03-31
CALABRIA,2.734,2.882,2019-03-31
CAMPANIA,6.136,7.835,2019-03-31
EMILIA ROMAGNA,2.805,3.641,2019-03-31
FRIULI VENEZIA GIULIA,480,675,2019-03-31
LAZIO,5.258,6.562,2019-03-31
LIGURIA,1.124,1.527,2019-03-31
LOMBARDIA,6.197,8.635,2019-03-31
MARCHE,897,924,2019-03-31
MOLISE,270,407,2019-03-31
PIEMONTE,3.976,4.570,2019-03-31
PUGLIA,2.319,3.765,2019-03-31
SARDEGNA,2.706,2.151,2019-03-31
SICILIA,6.493,6.571,2019-03-31
TOSCANA,3.145,3.420,2019-03-31
TRENTINO ALTO ADIGE,506,403,2019-03-31
UMBRIA,1.329,1.434,2019-03-31
VALLE D'AOSTA,181,241,2019-03-31
VENETO,1.918,2.501,2019-03-31
ABRUZZO,1.645,2.035,2019-04-30
BASILICATA,413,434,2019-04-30
CALABRIA,2.734,2.922,2019-04-30
CAMPANIA,6.136,7.844,2019-04-30
EMILIA ROMAGNA,2.805,3.635,2019-04-30
FRIULI VENEZIA GIULIA,480,641,2019-04-30
LAZIO,5.252,6.528,2019-04-30
LIGURIA,1.125,1.527,2019-04-30
LOMBARDIA,6.199,8.610,2019-04-30
MARCHE,897,879,2019-04-30
MOLISE,270,419,2019-04-30
PIEMONTE,3.976,4.584,2019-04-30
PUGLIA,2.319,3.723,2019-04-30
SARDEGNA,2.706,2.148,2019-04-30
SICILIA,6.480,6.509,2019-04-30
TOSCANA,3.145,3.456,2019-04-30
TRENTINO ALTO ADIGE,506,403,2019-04-30
UMBRIA,1.324,1.411,2019-04-30
VALLE D'AOSTA,181,233,2019-04-30
VENETO,1.918,2.498,2019-04-30
ABRUZZO,1.645,2.000,2019-05-31
BASILICATA,413,464,2019-05-31
CALABRIA,2.734,2.913,2019-05-31
CAMPANIA,6.131,7.841,2019-05-31
EMILIA ROMAGNA,2.795,3.631,2019-05-31
FRIULI VENEZIA GIULIA,480,653,2019-05-31
LAZIO,5.254,6.520,2019-05-31
LIGURIA,1.131,1.509,2019-05-31
LOMBARDIA,6.199,8.610,2019-05-31
MARCHE,897,890,2019-05-31
MOLISE,270,414,2019-05-31
PIEMONTE,3.972,4.592,2019-05-31
PUGLIA,2.319,3.743,2019-05-31
SARDEGNA,2.706,2.190,2019-05-31
SICILIA,6.484,6.480,2019-05-31
TOSCANA,3.145,3.523,2019-05-31
TRENTINO ALTO ADIGE,506,414,2019-05-31
UMBRIA,1.324,1.407,2019-05-31
VALLE D'AOSTA,181,224,2019-05-31
VENETO,1.942,2.458,2019-05-31
ABRUZZO,1.645,2.027,2019-06-30
BASILICATA,413,469,2019-06-30
CALABRIA,2.734,2.869,2019-06-30
CAMPANIA,6.133,7.849,2019-06-30
EMILIA ROMAGNA,2.795,3.695,2019-06-30
FRIULI VENEZIA GIULIA,477,652,2019-06-30
LAZIO,5.254,6.484,2019-06-30
LIGURIA,1.104,1.504,2019-06-30
LOMBARDIA,6.199,8.574,2019-06-30
MARCHE,897,886,2019-06-30
MOLISE,270,414,2019-06-30
PIEMONTE,3.972,4.636,2019-06-30
PUGLIA,2.319,3.812,2019-06-30
SARDEGNA,2.706,2.189,2019-06-30
SICILIA,6.484,6.452,2019-06-30
TOSCANA,3.141,3.550,2019-06-30
TRENTINO ALTO ADIGE,506,417,2019-06-30
UMBRIA,1.324,1.407,2019-06-30
VALLE D'AOSTA,181,204,2019-06-30
VENETO,1.942,2.432,2019-06-30
ABRUZZO,1.645,2.077,2019-07-31
BASILICATA,413,471,2019-07-31
CALABRIA,2.733,2.865,2019-07-31
CAMPANIA,6.157,7.606,2019-07-31
EMILIA ROMAGNA,2.795,3.707,2019-07-31
