Regione,Capienza regolamentare,Detenuti presenti (totale),Data
LIGURIA,1.106,1.388,2023-03-31
LOMBARDIA,6.161,8.122,2023-03-31
MARCHE,838,863,2023-03-31
MOLISE,275,330,2023-03-31
PIEMONTE,4.003,4.012,2023-03-31
PUGLIA,2.912,4.022,2023-03-31
SARDEGNA,2.614,2.079,2023-03-31
SICILIA,6.498,6.189,2023-03-31
TOSCANA,3.169,2.999,2023-03-31
TRENTINO ALTO ADIGE,507,457,2023-03-31
UMBRIA,1.342,1.415,2023-03-31
VALLE D'AOSTA,181,129,2023-03-31
VENETO,1.947,2.435,2023-03-31
ABRUZZO,1.654,1.876,2023-04-30
BASILICATA,378,415,2023-04-30
CALABRIA,2.726,3.015,2023-04-30
CAMPANIA,6.196,6.790,2023-04-30
EMILIA ROMAGNA,2.983,3.419,2023-04-30
FRIULI VENEZIA GIULIA,476,590,2023-04-30
LAZIO,5.295,6.079,2023-04-30
LIGURIA,1.106,1.399,2023-04-30
LOMBARDIA,6.157,8.207,2023-04-30
MARCHE,838,861,2023-04-30
MOLISE,275,321,2023-04-30
PIEMONTE,4.001,3.958,2023-04-30
PUGLIA,2.912,3.998,2023-04-30
SARDEGNA,2.617,2.065,2023-04-30
SICILIA,6.498,6.219,2023-04-30
TOSCANA,3.160,2.999,2023-04-30
TRENTINO ALTO ADIGE,507,477,2023-04-30
UMBRIA,1.342,1.415,2023-04-30
VALLE D'AOSTA,181,140,2023-04-30
VENETO,1.947,2.431,2023-04-30
ABRUZZO,1.654,1.870,2023-05-31
BASILICATA,378,434,2023-05-31
CALABRIA,2.726,3.060,2023-05-31
CAMPANIA,6.196,6.893,2023-05-31
EMILIA ROMAGNA,2.983,3.431,2023-05-31
FRIULI VENEZIA GIULIA,476,618,2023-05-31
LAZIO,5.295,6.086,2023-05-31
LIGURIA,1.107,1.402,2023-05-31
LOMBARDIA,6.157,8.277,2023-05-31
MARCHE,838,865,2023-05-31
MOLISE,275,324,2023-05-31
PIEMONTE,3.913,3.981,2023-05-31
PUGLIA,2.912,4.038,2023-05-31
SARDEGNA,2.617,2.079,2023-05-31
SICILIA,6.480,6.334,2023-05-31
TOSCANA,3.168,3.024,2023-05-31
TRENTINO ALTO ADIGE,508,472,2023-05-31
UMBRIA,1.342,1.425,2023-05-31
VALLE D'AOSTA,181,130,2023-05-31
VENETO,1.947,2.487,2023-05-31
ABRUZZO,1.652,1.840,2023-06-30
BASILICATA,368,442,2023-06-30
CALABRIA,2.726,3.038,2023-06-30
CAMPANIA,6.196,6.994,2023-06-30
EMILIA ROMAGNA,2.979,3.459,2023-06-30
FRIULI VENEZIA GIULIA,476,605,2023-06-30
LAZIO,5.295,6.180,2023-06-30
LIGURIA,1.107,1.398,2023-06-30
LOMBARDIA,6.157,8.320,2023-06-30
MARCHE,835,877,2023-06-30
MOLISE,275,315,2023-06-30
PIEMONTE,3.999,4.066,2023-06-30
PUGLIA,2.912,4.137,2023-06-30
SARDEGNA,2.617,2.047,2023-06-30
SICILIA,6.476,6.329,2023-06-30
TOSCANA,3.139,2.990,2023-06-30
TRENTINO ALTO ADIGE,508,472,2023-06-30
UMBRIA,1.342,1.419,2023-06-30
VALLE D'AOSTA,181,116,2023-06-30
VENETO,1.947,2.481,2023-06-30
ABRUZZO,1.652,1.906,2023-07-31
BASILICATA,368,461,2023-07-31
CALABRIA,2.754,3.003,2023-07-31
CAMPANIA,6.189,6.998,2023-07-31
EMILIA ROMAGNA,2.979,3.477,2023-07-31
FRIULI VENEZIA GIULIA,476,598,2023-07-31
LAZIO,5.287,6.209,2023-07-31
LIGURIA,1.110,1.379,2023-07-31
LOMBARDIA,6.157,8.370,2023-07-31
MARCHE,838,874,2023-07-31
MOLISE,275,308,2023-07-31
PIEMONTE,3.999,4.036,2023-07-31
PUGLIA,2.912,4.199,2023-07-31
SARDEGNA,2.617,2.070,2023-07-31
SICILIA,6.476,6.376,2023-07-31
TOSCANA,3.218,2.989,2023-07-31
TRENTINO ALTO ADIGE,508,446,2023-07-31
UMBRIA,1.342,1.427,2023-07-31
VALLE D'AOSTA,181,111,2023-07-31
VENETO,1.947,2.512,2023-07-31
ABRUZZO,1.653,1.928,2023-08-31
BASILICATA,368,451,2023-08-31
CALABRIA,2.725,3.023,2023-08-31
CAMPANIA,6.189,7.094,2023-08-31
EMILIA ROMAGNA,2.979,3.471,2023-08-31
FRIULI VENEZIA GIULIA,476,609,2023-08-31
LAZIO,5.287,6.304,2023-08-31
LIGURIA,1.110,1.402,2023-08-31
LOMBARDIA,6.153,8.543,2023-08-31
MARCHE,835,881,2023-08-31
MOLISE,275,307,2023-08-31
PIEMONTE,3.999,4.060,2023-08-31
PUGLIA,2.923,4.254,2023-08-31
SARDEGNA,2.617,2.085,2023-08-31
SICILIA,6.476,6.436,2023-08-31
TOSCANA,3.163,3.046,2023-08-31
TRENTINO ALTO ADIGE,508,464,2023-08-31
UMBRIA,1.342,1.427,2023-08-31
VALLE D'AOSTA,181,114,2023-08-31
VENETO,1.947,2.529,2023-08-31
ABRUZZO,1.714,1.930,2023-09-30
BASILICATA,368,468,2023-09-30
CALABRIA,2.725,3.046,2023-09-30
CAMPANIA,6.165,7.199,2023-09-30
EMILIA ROMAGNA,2.979,3.491,2023-09-30
FRIULI VENEZIA GIULIA,476,587,2023-09-30
LAZIO,5.337,6.381,2023-09-30
LIGURIA,1.110,1.408,2023-09-30
LOMBARDIA,6.153,8.597,2023-09-30
MARCHE,837,901,2023-09-30
MOLISE,275,312,2023-09-30
PIEMONTE,3.999,4.139,2023-09-30
PUGLIA,2.912,4.309,2023-09-30
SARDEGNA,2.616,2.117,2023-09-30
SICILIA,6.476,6.472,2023-09-30
TOSCANA,3.163,3.062,2023-09-30
TRENTINO ALTO ADIGE,508,463,2023-09-30
UMBRIA,1.344,1.430,2023-09-30
VALLE D'AOSTA,181,111,2023-09-30
VENETO,1.947,2.564,2023-09-30
ABRUZZO,1.714,1.958,2023-10-31
BASILICATA,368,476,2023-10-31
CALABRIA,2.719,3.080,2023-10-31
CAMPANIA,6.165,7.279,2023-10-31
EMILIA ROMAGNA,2.979,3.481,2023-10-31
FRIULI VENEZIA GIULIA,475,626,2023-10-31
LAZIO,5.334,6.453,2023-10-31
LIGURIA,1.110,1.415,2023-10-31
LOMBARDIA,6.153,8.691,2023-10-31
MARCHE,837,914,2023-10-31
MOLISE,275,297,2023-10-31
PIEMONTE,3.999,4.215,2023-10-31
PUGLIA,2.912,4.387,2023-10-31
SARDEGNA,2.616,2.133,2023-10-31
SICILIA,6.476,6.591,2023-10-31
TOSCANA,3.163,3.092,2023-10-31
TRENTINO ALTO ADIGE,508,466,2023-10-31
UMBRIA,1.344,1.443,2023-10-31
VALLE D'AOSTA,181,123,2023-10-31
VENETO,1.947,2.595,2023-10-31
ABRUZZO,1.714,1.947,2023-11-30
BASILICATA,368,480,2023-11-30
CALABRIA,2.711,3.101,2023-11-30
CAMPANIA,6.171,7.303,2023-11-30
EMILIA ROMAGNA,2.979,3.520,2023-11-30
FRIULI VENEZIA GIULIA,475,632,2023-11-30
LAZIO,5.334,6.465,2023-11-30
LIGURIA,1.110,1.410,2023-11-30
LOMBARDIA,6.152,8.733,2023-11-30
MARCHE,837,907,2023-11-30
MOLISE,275,309,2023-11-30
PIEMONTE,3.999,4.229,2023-11-30
PUGLIA,2.912,4.475,2023-11-30
SARDEGNA,2.616,2.149,2023-11-30
SICILIA,6.476,6.680,2023-11-30
TOSCANA,3.163,3.094,2023-11-30
TRENTINO ALTO ADIGE,508,476,2023-11-30
UMBRIA,1.344,1.468,2023-11-30
VALLE D'AOSTA,181,136,2023-11-30
VENETO,1.947,2.602,2023-11-30
ABRUZZO,1.689,1.958,2023-12-31
BASILICATA,368,479,2023-12-31
CALABRIA,2.711,3.038,2023-12-31
CAMPANIA,6.171,7.330,2023-12-31
EMILIA ROMAGNA,2.979,3.572,2023-12-31
FRIULI VENEZIA GIULIA,475,639,2023-12-31
LAZIO,5.284,6.537,2023-12-31
LIGURIA,1.110,1.360,2023-12-31
LOMBARDIA,6.149,8.722,2023-12-31
MARCHE,837,919,2023-12-31
MOLISE,275,317,2023-12-31
PIEMONTE,3.982,4.231,2023-12-31
PUGLIA,2.912,4.420,2023-12-31
SARDEGNA,2.616,2.140,2023-12-31
SICILIA,6.476,6.711,2023-12-31
TOSCANA,3.163,3.094,2023-12-31
TRENTINO ALTO ADIGE,510,483,2023-12-31
UMBRIA,1.344,1.484,2023-12-31
VALLE D'AOSTA,181,132,2023-12-31
VENETO,1.947,2.600,2023-12-31
